Tên sản phẩm,Giá sản phẩm,CPU,RAM,Bộ nhớ trong,Kích thước màn hình,Độ phân giải màn hình,Pin,Bluetooth,Camera sau,Camera trước,Link,Thể loại sản phẩm,Cửa hàng
iPhone SE 256GB 2020 Chính Hãng VN/A,"15,490,000 VNĐ",Apple A13 Bionic,3GB,256 GB,"IPS LCD 4,7"" HD+",,"Fast charging 18W, 50% in 30 min",,12 MP,7.0 MP,https://didongthongminh.vn/iphone-se-256gb-2020-chinh-hang-vn-a,IPHONE,DI DONG THONG MINH
iPhone SE 128GB 2020 Chính Hãng VN/A,"12,490,000 VNĐ",Apple A13 Bionic,3GB,128 GB,"IPS LCD 4,7"" HD+",,"Fast charging 18W, 50% in 30 min",,12 MP,7.0 MP,https://didongthongminh.vn/iphone-se-128gb-2020-chinh-hang-vn-a,IPHONE,DI DONG THONG MINH
iPhone SE Cũ 16Gb Nguyên Bản,"2,190,000 VNĐ",Apple A9,2 GB,16 GB,"IPS LCD, 4.0"", DVGA",,,,12 MP,1.2 MP,https://didongthongminh.vn/iphone-se-cu-p2365,IPHONE,DI DONG THONG MINH
iPhone 11 Pro 64Gb Cũ  Nguyên Bản,"16,690,000 VNĐ",Apple A13 Bionic,4 GB,64 GB,5.8 inch OLED,,Li-Ion 3190 mAh,,Triple 12MP + 12MP + 12MP,12MP,https://didongthongminh.vn/iphone-11-pro-cu-64gb,IPHONE,DI DONG THONG MINH
iPhone 11 Pro Cũ 256Gb Nguyên Bản,"17,890,000 VNĐ",Apple A13 Bionic,4 GB,256 GB,5.8 inch OLED,,Li-Ion 3190 mAh,,Triple 12MP + 12MP + 12MP,12MP,https://didongthongminh.vn/iphone-11-pro-cu-256gb,IPHONE,DI DONG THONG MINH
iPhone 11 Pro Cũ 512Gb Nguyên Bản,"19,290,000 VNĐ",Apple A13 Bionic,4 GB,512 GB,5.8 inch OLED,,Li-Ion 3190 mAh,,Triple 12MP + 12MP + 12MP,12MP,https://didongthongminh.vn/iphone-11-pro-512gb-cu,IPHONE,DI DONG THONG MINH
iPhone 11 Pro 64GB Chính Hãng VN/A,"21,990,000 VNĐ",Apple A13 Bionic,4 GB,64 GB,5.8 inch OLED,,Li-Ion 3190 mAh,,Triple 12MP + 12MP + 12MP,12MP,https://didongthongminh.vn/iphone-11-pro-64gb-moi,IPHONE,DI DONG THONG MINH
iPhone 11 Pro 512GB Chính Hãng VN/A,"30,990,000 VNĐ",Apple A13 Bionic,4 GB,512 GB,5.8 inch OLED,,Li-Ion 3190 mAh,,Triple 12MP + 12MP + 12MP,12MP,https://didongthongminh.vn/iphone-11-pro-512gb-moi,IPHONE,DI DONG THONG MINH
iPhone 11 Pro 256GB Chính Hãng VN/A,"25,890,000 VNĐ",Apple A13 Bionic,4 GB,256 GB,5.8 inch OLED,,Li-Ion 3190 mAh,,Triple 12MP + 12MP + 12MP,12MP,https://didongthongminh.vn/iphone-11-pro-256gb-moi,IPHONE,DI DONG THONG MINH
iPhone 11 128Gb Cũ Nguyên Bản,"14,490,000 VNĐ",Apple A13 Bionic,4 GB,128 GB,"IPS LCD , 6.1 inches",,Li-Ion 3110 mAh,,Dual 12 MP,12MP,https://didongthongminh.vn/iphone-11-128gb-cu,IPHONE,DI DONG THONG MINH
iPhone 11 Pro Max 256GB Chính Hãng VN/A,"28,890,000 VNĐ",Apple A13 Bionic,4 GB,256 GB,6.5 inch OLED,,Li-Ion 3969 mAh,,Triple 12MP + 12MP + 12MP,12MP,https://didongthongminh.vn/iphone-11-pro-max-256gb-moi,IPHONE,DI DONG THONG MINH
iPhone 11 256Gb Cũ Nguyên Bản,"15,690,000 VNĐ",Apple A13 Bionic,4 GB,256 GB,"IPS LCD , 6.1 inches",,Li-Ion 3110 mAh,,Dual 12 MP,12MP,https://didongthongminh.vn/iphone-11-256gb-cu,IPHONE,DI DONG THONG MINH
iPhone 11 Pro Max Cũ 256Gb Nguyên Bản,"22,090,000 VNĐ",Apple A13 Bionic,4 GB,256 GB,6.5 inch OLED,,Li-Ion 3969 mAh,,Triple 12MP + 12MP + 12MP,12MP,https://didongthongminh.vn/iphone-11-pro-max-256gb-cu,IPHONE,DI DONG THONG MINH
iPhone 11 Pro Max Cũ 512Gb Nguyên Bản,"23,090,000 VNĐ",Apple A13 Bionic,4 GB,512 GB,6.5 inch OLED,,Li-Ion 3969 mAh,,Triple 12MP + 12MP + 12MP,12MP,https://didongthongminh.vn/iphone-11-pro-max-512gb-cu,IPHONE,DI DONG THONG MINH
iPhone 11 Pro Max 512GB Chính Hãng VN/A,"32,890,000 VNĐ",Apple A13 Bionic,4 GB,512 GB,6.5 inch OLED,,Li-Ion 3969 mAh,,Triple 12MP + 12MP + 12MP,12MP,https://didongthongminh.vn/iphone-11-pro-max-512gb-moi,IPHONE,DI DONG THONG MINH
iPhone X Cũ 64GB Nguyên Bản,"9,490,000 VNĐ",Apple A11 Bionic,3 GB,64 GB,"Super Retina OLED 5.8""",,Li-Ion 2716 mAh,,Dual 12 MP,7.0 MP,https://didongthongminh.vn/iphone-x-64gb-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone X Cũ 256GB Nguyên Bản,"11,390,000 VNĐ",Apple A11 Bionic,3 GB,256 GB,"Super Retina OLED 5.8""",,Li-Ion 2716 mAh,,Dual 12 MP,7.0 MP,https://didongthongminh.vn/iphone-x-256gb-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone XS Cũ 256Gb Nguyên Bản,"11,290,000 VNĐ",Apple A12 Bionic,4 GB,256 GB,"5.8"" Super Retina HD",,Li-Ion 2658 mAh,,Dual 12 MP,7.0 MP,https://didongthongminh.vn/iphone-xs-256gb-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone Xs Max Cũ 256GB Nguyên Bản,"13,490,000 VNĐ",Apple A12 Bionic,4 GB,256 GB,"6.5"" Super Retina HD",,Li-Ion 3174 mAh,,Dual 12 MP,7.0 MP,https://didongthongminh.vn/iphone-xs-max-256gb-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone XR Cũ 64Gb Nguyên Bản,"8,990,000 VNĐ",Apple A12 Bionic,3 GB,64 GB,"IPS LCD , 6.1 inches",,Li-Ion 2942 mAh,,12 MP,7.0 MP,https://didongthongminh.vn/iphone-xr-64gb-cu-dep-nhu-moi,IPHONE,DI DONG THONG MINH
iPhone 7 32Gb Chính Hãng VN/A,"5,590,000 VNĐ",Apple A10 Fusion,2 GB,32 GB,"IPS LCD, 4.7"", HD",,Li-Po 1960 mAh,,12 MP,7.0 MP,https://didongthongminh.vn/iphone-7-chinh-hang-fpt-vna-p1978,IPHONE,DI DONG THONG MINH
iPhone 8 Cũ 256Gb Nguyên Bản,"6,490,000 VNĐ",Apple A11 Bionic,2 GB,256 GB,"IPS LCD, 4.7"", qHD",,Li-Ion 1821 mAh,,12 MP,7.0 MP,https://didongthongminh.vn/iphone-8-256gb-cu-quoc-te,IPHONE,DI DONG THONG MINH
iPhone 7 Cũ 256Gb Nguyên Bản,"4,490,000 VNĐ",Apple A10 Fusion,2 GB,256 GB,"IPS LCD, 4.7"", HD",,Li-Po 1960 mAh,,12 MP,7.0 MP,https://didongthongminh.vn/iphone-7-256gb-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone 8 Plus Cũ 256Gb Nguyên Bản,"8,790,000 VNĐ",Apple A11 Bionic,3 GB,256 GB,"IPS LCD, 5.5"", Retina HD",,Li-Ion 2691 mAh,,Dual 12 MP,7.0 MP,https://didongthongminh.vn/iphone-8-plus-128gb-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone 7 Plus Cũ 128Gb Nguyên Bản,"6,290,000 VNĐ",Apple A10 Fusion,3 GB,128 GB,"IPS LCD, 5.5"", Full HD",,Li-Ion 2900 mAh,,Dual 12 MP,7.0 MP,https://didongthongminh.vn/iphone-7-plus-128gb-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone 7 Plus Cũ 256Gb Nguyên Bản,"6,590,000 VNĐ",Apple A10 Fusion,3 GB,256 GB,"IPS LCD, 5.5"", Full HD",,Li-Ion 2900 mAh,,Dual 12 MP,7.0 MP,https://didongthongminh.vn/iphone-7-plus-256gb-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone 6 Cũ 16GB Quốc Tế,"2,290,000 VNĐ",Dual-core 1.4 GHz Typhoon (ARM v8-based),1 GB,16 GB,"IPS LCD, 4.7"", HD",,Li-Po 1810 mAh,,8.0 MP,1.2 MP,https://didongthongminh.vn/iphone-6-16gb-cu-qsd-99-p1353,IPHONE,DI DONG THONG MINH
iPhone 8 Plus 64Gb Mới Chính Hãng VN/A,"11,590,000 VNĐ",Apple A11 Bionic,3 GB,64 GB,"IPS LCD, 5.5"", Retina HD",,Li-Ion 2691 mAh,,Dual 12 MP,7.0 MP,https://didongthongminh.vn/iphone-8-plus-chua-active-chinh-hang-p2326,IPHONE,DI DONG THONG MINH
iPhone 6 Cũ 32GB Quốc Tế,"2,790,000 VNĐ",Dual-core 1.4 GHz Typhoon (ARM v8-based),1 GB,32 GB,"IPS LCD, 4.7"", HD",,Li-Po 1810 mAh,,8.0 MP,1.2 MP,https://didongthongminh.vn/iphone-6-32gb-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone 6 Cũ 64Gb Quốc Tế,"2,990,000 VNĐ",Dual-core 1.4 GHz Typhoon (ARM v8-based),1 GB,64 GB,"IPS LCD, 4.7"", HD",,Li-Po 1810 mAh,,8.0 MP,1.2 MP,https://didongthongminh.vn/iphone-6-64gb-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone 6 Cũ 128GB Quốc Tế,"3,390,000 VNĐ",Dual-core 1.4 GHz Typhoon (ARM v8-based),1 GB,128 GB,"IPS LCD, 4.7"", HD",,Li-Po 1810 mAh,,8.0 MP,1.2 MP,https://didongthongminh.vn/iphone-6-128gb-cu-qsd-p2363,IPHONE,DI DONG THONG MINH
iPhone 8 Plus 256Gb Mới Chính Hãng VN/A,"13,590,000 VNĐ",Apple A11 Bionic,3 GB,256 GB,"IPS LCD, 5.5"", Retina HD",,Li-Ion 2691 mAh,,Dual 12 MP,7.0 MP,https://didongthongminh.vn/iphone-8-plus-256gb-moi-chinh-hang,IPHONE,DI DONG THONG MINH
iPhone 7 Cũ 128Gb Nguyên Bản,"4,090,000 VNĐ",Apple A10 Fusion,2 GB,128 GB,"IPS LCD, 4.7"", HD",,Li-Po 1960 mAh,,12 MP,7.0 MP,https://didongthongminh.vn/iphone-7-128gb-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone SE Cũ 32Gb Nguyên Bản,"2,390,000 VNĐ",Apple A9,2 GB,32 GB,"IPS LCD, 4.0"", DVGA",,,,12 MP,1.2 MP,https://didongthongminh.vn/iphone-se-32gb-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone 6S Cũ 32GB Quốc Tế,"2,990,000 VNĐ",Apple A9,2 GB,32 GB,"IPS LCD, 4.7"", HD",,Li-Po 1715 mAh,,12 MP,5.0 MP,https://didongthongminh.vn/iphone-6s-32gb-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone SE Cũ 64Gb Nguyên Bản,"2,590,000 VNĐ",Apple A9,2 GB,64 GB,"IPS LCD, 4.0"", DVGA",,,,12 MP,1.2 MP,https://didongthongminh.vn/iphone-se-64gb-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone 6S Cũ 64GB Quốc Tế,"3,190,000 VNĐ",Apple A9,2 GB,64 GB,"IPS LCD, 4.7"", HD",,Li-Po 1715 mAh,,12 MP,5.0 MP,https://didongthongminh.vn/iphone-6s-64gb-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone 6S Cũ 128GB Quốc Tế,"3,590,000 VNĐ",Apple A9,2 GB,128GB,"IPS LCD, 4.7"", HD",,Li-Po 1715 mAh,,12 MP,5.0 MP,https://didongthongminh.vn/iphone-6s-cu-128gb-quoc-te,IPHONE,DI DONG THONG MINH
iPhone SE Cũ 128Gb Nguyên Bản,"2,790,000 VNĐ",Apple A9,2 GB,128 GB,"IPS LCD, 4.0"", DVGA",,,,12 MP,1.2 MP,https://didongthongminh.vn/iphone-se-cu-128gb-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone 6S Plus Cũ 16Gb Nguyên Bản,"3,990,000 VNĐ",Apple A9,2 GB,16 GB,"IPS LCD, 5.5"", Full HD",,Li-Po 2750 mAh,,12 MP,5.0 MP,https://didongthongminh.vn/iphone-6s-plus-quoc-te-cu-99-p1883,IPHONE,DI DONG THONG MINH
