Tên sản phẩm,Giá sản phẩm,Màu,Màn hình,Camera trước,Camera sau,Chip,Ram,Bộ nhớ trong,Thẻ sim,Pin,Hệ điều hành,Link,Loại sản phẩm,Cửa hàng
iPhone 12 Pro Max 128GB Chính hãng (VN/A),28.790.000 VNĐ,Pacific Blue [Xanh] Graphite [Than chì] Silver [Trắng] Gold [Vàng] ,"6.7"" Super Retina XDR",12 MP,12 MP + 12 MP + 12 MP + LiDAR,Apple A14 Bionic 6 nhân (5nm),6GB LPDDR5,128GB,Nano-Sim,3.687mAh,iOS,https://www.xtmobile.vn/iphone-12-pro-max-128gb-vna,IPHONE,XTMOBILE
iPhone 12 64GB Chính hãng (VN/A),19.690.000 VNĐ,Red Black Blue White Green Purple ,OLED,12MP True Depth,Camera kép 12 + 12MP góc rộng và góc siêu rộng,Apple A14 Bionic,4GB,64GB,1 Nano Sim - 1 eSim,"2,815mAh",iOS 14,https://www.xtmobile.vn/iphone-12-64gb-vna,IPHONE,XTMOBILE
iPhone 8 Plus 64GB (Cũ 99%),6.690.000 VNĐ,Màu Xám Vàng (Gold) Màu Bạc Màu Đỏ ,"LED-backlit IPS LCD, 5.5"", Retina HD",7 MP,2 camera 12 MP,Apple A11 Bionic 6 nhân,3 GB,64 GB,1 Nano SIM,2691 mAh,iOS,https://www.xtmobile.vn/iphone-8-plus-64gb-may-cu-99,IPHONE,XTMOBILE
iPhone 11 64GB (Cũ 99%),12.690.000 VNĐ,Màu Đỏ Màu Tím JetBlack Màu Trắng Xanh Lá Vàng ,"6.1"" Liquid Retina LCD",12 MP,12 MP + 12 MP,Apple A13 Bionic 6 nhân (7nm+),4 GB,64 GB,Nano-Sim,3110 mAh,iOS,https://www.xtmobile.vn/iphone-11-64gb-like-new,IPHONE,XTMOBILE
iPhone 8 64GB (Cũ 99%),4.590.000 VNĐ,Màu Bạc Màu Xám Vàng (Gold) Màu Đỏ ,"LED-backlit IPS LCD, 4.7"", Retina HD",7 MP,12 MP,Apple A11 Bionic 6 nhân,2 GB,64 GB,1 Nano SIM,1821 mAh,iOS,https://www.xtmobile.vn/iphone-8-64gb-quoc-te,IPHONE,XTMOBILE
iPhone 11 Pro Max 256GB (Cũ 99%),20.190.000 VNĐ,Màu Xám Màu Bạc Vàng (Gold) Xanh rêu ,"6.5"" Super Retina XDR",12 MP,12 MP + 12 MP + 12 MP,Apple A13 Bionic 6 nhân (7nm+),4 GB,256 GB,Nano-Sim,3969 mAh,iOS,https://www.xtmobile.vn/iphone-11-pro-max-256gb-like-new,IPHONE,XTMOBILE
iPhone 11 Pro Max 64GB (Cũ 99%),18.290.000 VNĐ,Màu Đen Xanh rêu Vàng (Gold) Màu Bạc ,"6.5"" Super Retina XDR",12 MP,12 MP + 12 MP + 12 MP,Apple A13 Bionic 6 nhân (7nm+),4 GB,64 GB,Nano-Sim,3969 mAh,iOS,https://www.xtmobile.vn/iphone-11-pro-max-64gb-like-new,IPHONE,XTMOBILE
iPhone 12 Pro Max 256GB Chính hãng (VN/A),31.690.000 VNĐ,Pacific Blue [Xanh] Graphite [Than chì] Silver [Trắng] Gold [Vàng] ,"6.7"" Super Retina XDR",12 MP,12 MP + 12 MP + 12 MP + LiDAR,Apple A14 Bionic 6 nhân (5nm),6GB LPDDR5,256GB,Nano-Sim,3.687mAh,iOS,https://www.xtmobile.vn/iphone-12-pro-max-256gb-vna,IPHONE,XTMOBILE
iPhone 7 Plus 128GB (Cũ 99%),5.690.000 VNĐ,JetBlack Màu Đen Màu Hồng Vàng (Gold) Màu Đỏ ,"LED-backlit IPS LCD, 5.5"", Retina HD",7 MP,2 camera 12 MP,Apple A10 Fusion 4 nhân 64-bit,3 GB,128 GB,1 Nano SIM,2900 mAh,iOS,https://www.xtmobile.vn/iphone-7-plus-128gb-likenew-99,IPHONE,XTMOBILE
iPhone Xr 64GB (Cũ 99%),8.690.000 VNĐ,Màu Trắng Màu Đen Xanh dương Màu Đỏ Vàng Màu Cam ,"LCD, 6.1"", Super Retina",7 MP,12 MP,Apple A12 Bionic 6 nhân,3 GB,64 GB,2 Sim,2942 mAh,iOS,https://www.xtmobile.vn/iphone-xr-64gb-likenew-99,IPHONE,XTMOBILE
