Tên sản phẩm,Giá sản phẩm,Màu,Màn hình,Camera trước,Camera sau,Chip,Ram,Bộ nhớ trong,Thẻ sim,Pin,Hệ điều hành,Link,Loại sản phẩm,Cửa hàng
iPhone Xs Max 256GB (Cũ 97%),12.290.000 VNĐ,Màu Đen Màu Bạc Vàng (Gold) ,"OLED, 6.5"", Super Retina",7 MP,2 camera 12 MP,Apple A12 Bionic 6 nhân,4 GB,64 GB,,3.174 mAh,iOS,https://www.xtmobile.vn/iphone-xs-max-256gb-likenew,IPHONE,XTMOBILE
iPhone Xr 64GB Chính hãng (VN/A),12.790.000 VNĐ,Màu Đen ,"LCD, 6.1"", Super Retina",7 MP,12 MP,Apple A12 Bionic 6 nhân,3 GB,64 GB,2 Sim,2942 mAh,iOS,https://www.xtmobile.vn/iphone-xr-64gb,IPHONE,XTMOBILE
iPhone 11 128GB (2 Sim) (Cũ 99%),13.590.000 VNĐ,Màu Đen Xanh Lá ,"6.1"" Liquid Retina LCD",12 MP,12 MP + 12 MP,Apple A13 Bionic 6 nhân (7nm+),4 GB,128 GB,Nano-Sim,3110 mAh,iOS,https://www.xtmobile.vn/iphone-11-128gb-2-sim-,IPHONE,XTMOBILE
iPhone Xs Max 512GB (Cũ 97%),14.390.000 VNĐ,Vàng (Gold) ,"OLED, 6.5"", Super Retina",7 MP,2 camera 12 MP,Apple A12 Bionic 6 nhân,4 GB,512 GB,1 Nano Sim,3.174 mAh,iOS,https://www.xtmobile.vn/iphone-xs-max-512gb-may-cu,IPHONE,XTMOBILE
iPhone 11 Pro 64GB (Cũ 97%),14.890.000 VNĐ,Màu Xám Xanh rêu Màu Bạc ,"5.8"" Super Retina XDR",12 MP,12 MP + 12 MP + 12 MP,Apple A13 Bionic 6 nhân (7nm+),4 GB,64 GB,Nano-Sim,3190 mAh,iOS,https://www.xtmobile.vn/iphone-11-pro-64gb-cu,IPHONE,XTMOBILE
iPhone 12 mini 128GB (Cũ 99% Fullbox) (VN/A),16.490.000 VNĐ,Da Xanh ,Super Retina XDR 5.4inch,12MP,2 camera: 12MP + 12MP,Apple A14 Bionic,4GB,128GB,1 Nano SIM và 1 eSIM,2.227mAh,iOS 14,https://www.xtmobile.vn/iphone-12-mini-128gb,IPHONE,XTMOBILE
iPhone 11 Pro 512GB (Cũ 99%),18.290.000 VNĐ,Màu Bạc Màu Xám Xanh rêu ,"5.8"" Super Retina XDR",12 MP,12 MP + 12 MP + 12 MP,Apple A13 Bionic 6 nhân (7nm+),4 GB,512 GB,Nano-Sim,3190 mAh,iOS,https://www.xtmobile.vn/iphone-11-pro-512gb,IPHONE,XTMOBILE
iPhone 11 Pro Max 64GB (Cũ 99% - Fullbox),19.390.000 VNĐ,Màu Xám ,"6.5"" Super Retina XDR",12 MP,12 MP + 12 MP + 12 MP,Apple A13 Bionic 6 nhân (7nm+),4 GB,64 GB,Nano-Sim,3969 mAh,iOS,https://www.xtmobile.vn/iphone-11-pro-max-64gb,IPHONE,XTMOBILE
iPhone 11 Pro Max 256GB (Cũ 97%),19.590.000 VNĐ,Màu Xám Xanh rêu ,"6.5"" Super Retina XDR",12 MP,12 MP + 12 MP + 12 MP,Apple A13 Bionic 6 nhân (7nm+),4 GB,256 GB,Nano-Sim,3969 mAh,iOS,https://www.xtmobile.vn/iphone-11-pro-max-256gb-chua-active,IPHONE,XTMOBILE
iPhone 12 128GB (Cũ 99% Fullbox) (VN/A),20.390.000 VNĐ,Màu Đỏ ,OLED,12MP True Depth,Camera kép 12 + 12MP góc rộng và góc siêu rộng,Apple A14 Bionic,4GB,128GB,1 Nano Sim - 1 eSim,"2,815mAh",iOS 14,https://www.xtmobile.vn/iphone-12-128gb,IPHONE,XTMOBILE
